Alabama,214.2,71529,33387205,2,18.5,244.7,1017.8,2,2.1,20.1,16.8,201,291.5,803.6,1308.6,186.1,187.5,216.1,81.3,69.9,149.2,150.2,167.2,167.9,84.9,53.8,237.1,239.2,297.9,299.2,75.7,88.3,66.5,58.3,77.1,27.4,5.1,39.8,95.7,20.5,20.6,30.3,30.4,0,0,0,19.4,1.6,2.3,18,28.7,78.4,106,15.9,16,24.4,24.5,0,0,5.7,66.4,1.7,2.4,54.8,102.9,221.7,457.4,59.9,60.4,52.6,52.8,23,22.9,14.8
Alaska,128.1,6361,4966180,1.7,11.8,170.9,965.2,0,0,13.9,10,157.6,183,849.6,1086.4,168.2,170.2,183.7,118.7,247.2,145.5,147.8,141.6,148.8,105.2,219.4,195.6,197.3,240.8,246.6,142.8,284.9,88.8,73.1,104,17.8,2.9,27.8,108,21.3,21.8,0,0,12.2,25.5,0,11.9,0,0,15.3,17.6,71.7,102.3,13.6,13.8,0,0,12.5,34.7,0,36.6,0,0,39.7,50.3,268.3,335,48.7,49.5,45.6,47.9,33,74.4,0
Arizona,165.6,74286,44845598,2.5,13.6,173.6,840.2,2.6,2.5,15.2,12.2,156.5,191.8,706.1,1000.2,153.5,156.4,166.8,93,116.2,130.8,134,146.5,154.3,80.6,100.5,182.2,184.7,195.3,205,112.5,139.5,128.5,106.5,158.4,23.3,3.8,33.2,90.5,20.4,20.9,26.3,28,10.7,11.4,16.2,14.9,1.3,1.4,12.6,19.2,67.6,85.2,13.8,13.9,18.7,19.7,10.6,10.1,13.1,42.3,1.1,0.8,33.2,47,191.9,275.8,39.5,42.2,38.2,40.4,21.3,11.1,21.6
Arkansas,223.9,45627,20382448,2.3,17.6,250.1,1048.3,2.6,2,19.5,15.8,211.9,290.1,837.8,1320.5,192.2,194.2,228.2,115.9,59.2,156.4,157.8,180,180,91.7,44.8,240.5,243.3,304.6,305,157.7,74.8,81.2,74.6,90.1,27.9,5,38.4,100.6,21.7,22,31.1,31,0,0,10.9,21.2,1.9,2.2,19.7,28.6,85.8,114.4,17.7,17.9,26.3,26.4,0,0,8.1,73.3,1.9,1.8,61.4,106.5,248.7,484.7,63.4,64.2,62.9,63,18.1,16.2,14.6
California,150.9,393980,261135696,2.6,13.7,163.7,902.4,2.4,2.8,15,12.5,155.8,171.8,775.2,1067.2,160.7,170.4,197.1,112.4,77,140.8,150.4,171.8,180.2,96.1,65.9,188.6,198.1,237.5,248.1,135.5,91.3,120.9,103.2,146.6,23,4,34.6,98.6,22.2,24.3,31.3,33.1,12.8,7.5,15.1,14,1.2,1.4,13.4,17.9,75.3,93.3,14.4,15,21.2,22.2,11.6,7.7,11.7,34.5,0.8,0.8,28.4,36.8,192.5,269,37.2,42.6,46.5,48.6,25.8,18.4,18.3
Colorado,139,49035,35267734,1.9,11.7,149.6,849.4,1.9,1.9,12.8,10.7,141.5,157.8,743.9,981,148,148.6,175.5,95.2,88,130.1,130.9,147.5,153,81.8,79.1,173.5,173.9,215.3,222.1,117.2,98.9,134.9,115.9,160.3,20.7,3.1,29.3,94.6,19.5,19.8,24.9,26,9.1,12.1,15.3,12.7,1,1.1,11.6,15.7,73.5,83.3,13.4,13.1,17.2,17.9,10.7,7.6,14.8,31.8,0.7,0.7,27.8,34,183,242.6,34.1,35,40.4,41.5,22.8,22.3,25.6
Connecticut,190.5,47567,24975889,1.6,13.6,163.6,971.2,1.6,1.7,15.1,12.1,152.5,175.5,843.4,1147,160.1,161.8,166.7,93.7,75.8,140,141.9,139.2,146.2,79.1,59.8,190.2,191.7,211.8,223.6,112.1,95.4,110.9,92.4,138,26.7,4.2,30.8,102.2,20.2,20.6,23.8,25.4,9.1,0,11.1,15.6,1.2,1.5,10.5,15.6,76.9,85.3,12.8,12.9,15.5,16.4,6.6,0,10.2,49,1.5,1.3,37.3,47.2,222.2,301.1,42.2,43.2,38.4,40.4,20.8,0,20.3
Delaware,210.2,13233,6295263,2.2,16,217.5,993.3,0,0,17.8,14.2,195.1,242.1,851.7,1174.9,181.8,183.2,194.4,87.4,114,157.1,158.3,165.4,166.8,87.6,0,216.7,218.5,237.7,239.8,85.7,0,82.2,73.1,92.9,28,4.9,37.3,100.7,22.5,22.8,25.5,25.8,0,0,0,17.6,0,1.8,13,23.1,77.1,93.8,15.4,15.4,16.9,17,0,0,0,62.7,0,2.1,55.6,74.9,253.7,369.1,55,55.7,49.3,49.8,23.7,0,15.5
District of Columbia,182.1,7730,4245359,0,12.4,251.8,1028.6,0,0,13.9,10.8,233.2,272,892.5,1231.2,127.8,129.1,229.3,92.7,0,115.5,116.7,195.6,196.4,79.8,0,145.1,146.2,287.5,288.6,112.3,0,96.6,89.6,106.4,31.3,3.4,56.6,129.6,23.2,25.2,34.6,34.6,0,0,0,17.5,0,0,21.9,25.3,98.9,102.1,10,9.8,23,23.1,0,0,9.1,41.6,0,0,51.3,71.3,193,303.2,27.3,27.6,53.6,54.2,0,0,18.8
Florida,219.2,289905,132277071,2.1,15.9,206.9,901.2,2,2.2,17.5,14.4,180.9,234.9,746.6,1093.7,164.2,172.8,173.3,84.6,61.1,138.1,146.5,141.2,146.5,78,44.7,197.3,205.4,223.5,231.9,94.9,80.9,119.1,96.4,152.5,28.7,4.7,35.9,91.5,20.1,21.2,27.3,28.4,9.6,0,15,19.6,1.4,1.8,15.1,22.7,71,91.6,14.3,14.5,18.5,19.2,9.2,5.6,13.4,63,1.6,1.5,47.5,72,215.8,329,48,52.5,38.1,39.5,19.8,21,24
